Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,Average(1960-1964),1965,1966,1967,1968,1969,Average(1965-1969),1970,1971,1972,1973,1974,AVERAGE(1970-1974),1975,1976,1977,1978,1979,Average(1975-1979),1980,1981,1982,1983,1984,average(1980-1984),1985,1986,1987,1988,1989,Average(1985-1989),1990,1991,1992,1993,1994,Avergae(1990-1994),1995,1996,1997,1998,1999,Average(1995-1999),2000,2001,2002,2003,2004,Average(2000-2004),2005,2006,2007,2008,2009,Average(2005-2009),2010,2011,2012,2013,2014,Average(2010-2014),2015,2016,2017,2018,2019,Average(2015-2019),2020,2021
Aruba,ABW,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03,1.07,3.64,3.12,3.99,3.17,5.84,5.56,3.87,5.22,6.31,5.36,3.36,3.23,3,1.87,2.28,2.75,4.04,2.88,3.32,3.66,2.53,3.29,3.4,3.61,5.39,8.96,-2.14,3.84,2.08,4.32,0.63,-2.37,0.42,1.01,0.47,-0.93,-1.03,3.63,4.26,1.28,0,0
Africa Eastern and Southern,AFE,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6,3.92,15.22,11.22,14.24,12.53,15.07,13.66,15.07,14.46,12.14,11.57,10.98,12.84,13.01,13.89,12.56,12.52,12.56,12.91,12.46,17.68,16.17,13.14,14.85,14.86,12.29,9.71,10.25,7.5,7.82,9.51,8.6,5.84,8.76,7.45,5.02,7.14,8.56,8.9,8.45,12.57,8.95,9.49,5.54,8.97,9.16,5.75,5.37,6.96,5.25,6.57,6.4,4.72,4.12,5.41,5.4,7.24
Afghanistan,AFG,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.69,6.78,8.68,26.42,-6.81,9.55,2.18,11.8,6.44,7.39,4.67,6.5,-0.66,4.38,4.98,0.63,2.3,2.33,0,0
Africa Western and Central,AFW,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,12.06,10.67,11.25,8.56,7.35,5.95,0.25,2.52,0.87,3.39,1.06,1.74,-0.06,0.55,31.84,7.03,10.56,4.91,4,4.47,0.37,4.86,2.53,4.36,3.19,1.76,0.69,2.51,5.63,4.42,3.61,8.45,3.28,5.08,1.78,4.02,4.58,2.44,1.76,2.92,2.13,1.49,1.76,1.78,1.76,1.79,2.49,3.93
Angola,AGO,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.78,299.51,1378.53,949.79,542.32,2666.45,4145.11,219.18,107.28,248.2,1477.24,325,152.56,108.9,98.22,43.54,145.64,22.95,13.31,12.25,12.48,13.73,14.94,14.47,13.48,10.28,8.78,7.28,10.86,9.15,30.7,29.84,19.63,17.08,21.28,0,0
Albania,ALB,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.01,85,22.57,66.72,7.79,12.73,33.18,20.64,0.39,14.95,0.05,3.11,7.77,0.48,2.28,2.74,2.37,2.37,2.93,3.32,2.27,2.65,3.63,3.43,2.03,1.94,1.63,2.53,3.5,-0.37,2.06,2.03,1.41,1.73,1.62,2.04
Andorra,AND,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arab World,ARB,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.27,15.53,4.76,9.67,10.32,11.99,9.72,0,8.34,9.63,10.76,8.33,5.49,8.12,8.47,7.25,6.8,4.22,5.91,7.74,6.39,8.45,9,9.36,9.37,5.11,8.26,6.54,4.68,3.6,3.42,2.67,4.18,1.85,1.77,1.83,2.71,3.63,2.36,3.49,3.54,4.74,11.27,2.92,5.19,3.91,4.75,4.61,3.24,2.77,3.86,1.81,2.07,1.97,2.46,1.09,1.88,1.78,3.24
United Arab Emirates,ARE,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.25,1.56,2.76,0.88,0.88,0.66,1.1,2.35,1.17,4.07,1.62,1.97,3.07,-1.93,1.76,-2.08,0
Argentina,ARG,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,ARM,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3373.76,674.75,175.95,18.68,13.96,8.67,0.65,43.58,-0.79,3.15,1.06,4.72,6.96,3.02,0.64,2.89,4.41,8.95,3.41,4.06,8.18,7.65,2.56,5.79,2.98,5.43,3.73,-1.4,0.97,2.52,1.44,1.45,1.21,7.18
