country_name,country_code,indicator_name,Average_Inflation1960_1964,Average_Inflation1965_1969,Average_Inflation1970_1974,Average_Inflation1975_1979,Average_Inflation1980_1984,Average_Inflation1985_1989,Average_Inflation1990_1994,Average_Inflation1995_1999,Average_Inflation2000_2004,Average_Inflation2005_2009,Average_Inflation2010_2014,Average_Inflation2015_2019,Inflation_2021,Inflation_2022
Aruba,ABW,"Inflation, consumer prices (annual %)",0,0,0,0,0,3.17,5.36,2.75,3.29,3.84,1.1,1.28,0,0
Africa Eastern and Southern,AFE,"Inflation, consumer prices (annual %)",0,0,0,13.66,12.84,12.91,14.86,9.51,7.14,9.49,6.96,5.41,5.4,7.24
Afghanistan,AFG,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,9.55,6.5,2.33,0,0
Africa Western and Central,AFW,"Inflation, consumer prices (annual %)",0,0,0,0,8.56,3.39,7.3,4.86,2.51,5.8,2.92,1.79,2.49,3.93
Angola,AGO,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,542.32,1477.24,145.64,14.94,1.86,21.28,0,0
Albania,ALB,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,66.72,14.95,2.74,2.65,2.53,1.73,1.62,2.4
Andorra,AND,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arab World,ARB,"Inflation, consumer prices (annual %)",0,0,0,8.34,8.47,6.39,8.26,4.18,2.36,5.19,3.86,1.88,1.78,3.24
United Arab Emirates,ARE,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,2.76,1.17,1.76,2.8,0
Argentina,ARG,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,ARM,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,674.75,43.58,3.2,4.6,5.43,1.45,1.21,7.18
American Samoa,ASM,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,ATG,"Inflation, consumer prices (annual %)",0,0,0,0,0,0,0,0.22,1.72,2.2,2.47,1.11,0.63,2.6
Australia,AUS,"Inflation, consumer prices (annual %)",1.84,3.21,2.53,11.58,8.99,7.81,3.5,1.96,3.38,2.94,2.58,1.65,0.85,2.86
